title,id,activity,status
Lazy Literal String Interpolation (PEP-498-based fl-strings),32954,2019-12-18.06:25:31,1
help() modifies the string module,39079,2019-12-18.02:15:45,2
string.letters is flipped after setlocale is called,39084,2019-12-18.02:12:12,2
Inconsistency with Starred Expression line/col info,39080,2019-12-18.01:59:34,2
"Dictionary get(key, default-expression) not short circuit behavior",39083,2019-12-18.01:58:56,2
Threading memory leak in _shutdown_locks for non-daemon threads,39074,2019-12-17.22:56:31,1
sys.stderr should be line-buffered when stderr is not a TTY,13601,2019-12-17.22:17:59,1
"Add ""regen-*"" equivalent projects for Windows builds",36500,2019-12-17.22:14:36,2
argparse should preserve argument ordering in Namespace,39058,2019-12-17.22:10:31,1
Windows Python Launcher does not update PATH to Scripts directory,39025,2019-12-17.21:40:08,2
__function.__defaults__ breaks for __init__ of dataclasses with default factory,39078,2019-12-17.21:08:15,1
email incorrect handling of crlf in Address objects.,39073,2019-12-17.20:24:21,1
"""signal only works in main thread"" in main thread",38904,2019-12-17.17:14:27,1
zipimport raises NameError: name '_boostrap_external' is not defined,39033,2019-12-17.16:34:19,1
test__xxsubinterpreters fails randomly,37224,2019-12-17.15:52:50,1
Some tests leak temporary files,37421,2019-12-17.14:31:35,2
Getting incorrect results in rounding procedures,39059,2019-12-17.14:17:04,2
new_interpreter() should reuse more Py_InitializeFromConfig() code,38858,2019-12-17.12:02:27,2
EOFError in tarfile.open,39067,2019-12-17.09:45:27,1
Azure Pipelines: git clone failed with: OpenSSL SSL_read: Connection was reset,39072,2019-12-17.08:53:28,1
Leak Sanitizer reports memory leaks while building using ASAN,32343,2019-12-17.04:51:50,1
UDP sockets created by create_datagram_endpoint() allow by default multiple processes to bind the same port,37228,2019-12-17.04:17:35,1
ensurepip does not honour the value of $(prefix),31046,2019-12-17.01:26:59,1
Expose SOABI setting in the header,39066,2019-12-17.01:26:56,2
2.7 modern compiler warnings,38730,2019-12-17.00:40:03,2
IDLE very slow due a super long line output in chunks,37762,2019-12-16.22:38:40,2
Move ast.unparse() function to a different module,39069,2019-12-16.21:58:21,2
Support GitHub Actions in CI,39041,2019-12-16.19:15:14,1
cProfile behaviour issue with decorator and math.factorial() lib.,38993,2019-12-16.19:15:12,2
Garbage Collection makes some object live for very long,39061,2019-12-16.19:06:33,1
Make python -m ast more configurable,38348,2019-12-16.18:24:07,2
Base 85 encoding initialization race condition,39068,2019-12-16.18:06:37,1
Python 3.7.0 wont compile with SSL Support 1.1.0 > alledged missing X509_VERIFY_PARAM_set1_host()  support,34028,2019-12-16.13:17:10,1
OSError in TarFile.getmembers(),39065,2019-12-16.13:07:11,1
ValueError in zipfile.ZipFile,39064,2019-12-16.12:58:42,1
Pathlib crashes when os module is missing 'link' method,38811,2019-12-16.12:42:56,2
Implement pathlib.Path.link (Using os.link),26978,2019-12-16.12:42:24,2
"Format string does not work with ""in"" statement",39063,2019-12-16.12:30:32,2
csv needs more quoting rules,23041,2019-12-16.02:20:00,2
"float is missing __ceil__() and __floor__(), required by numbers.Real",38629,2019-12-15.22:01:27,2
Python not working on Windows 10,39051,2019-12-15.21:51:49,2
Issues with urllib.request.proxy_bypass_environment,39057,2019-12-15.19:49:37,1
Issues with handling the -W option,39056,2019-12-15.19:07:06,1
base64.b64decode() with validate=True does not raise for a trailing \n,39055,2019-12-15.17:26:51,1
IDLE: Add search to textview.ViewWindow,36595,2019-12-15.15:36:59,1
Modify AIX platform_tag so it provides PEP425 needs,38021,2019-12-15.14:26:57,2
streams.py:IncompleteReadError is message is unclear when expected is None,34215,2019-12-15.13:40:17,1
Fix the trial order of the __exit__ and __enter__ methods in the with statement documentation,39037,2019-12-15.13:35:54,1
Incorrect error handling in curses.update_lines_cols(),36589,2019-12-15.13:34:33,2
Document when compile returns a code object v. AST,34000,2019-12-15.13:02:01,2
Logging failure with timestamp messages,38720,2019-12-15.12:49:32,2
_xxsubinterpreters: Can't unpickle objects defined in __main__,37292,2019-12-15.12:46:28,1
Add an parameter to list.remove(),39054,2019-12-15.12:37:34,2
"PEP 499 implementation: ""python -m foo"" binds the main module as both __main__ and foo in sys.modules",36375,2019-12-15.12:35:30,1
Hide manually raised exception formatting,39053,2019-12-15.09:16:39,2
Insufficient error message with incorrect formated string literal,31140,2019-12-15.01:50:50,1
Windows: socket.gethostbyaddr(name) fails for non-ASCII hostname,26227,2019-12-15.00:28:14,2
"The ""Help"" button in IDLE's config dialog does not work",39050,2019-12-14.22:06:54,1
"Add ""elif"" to ""for_stmt"" and ""while_stmt""",39049,2019-12-14.21:03:31,2
Attempting to use class with both __enter__ & __exit__ undefined yields __exit__ attribute error,27100,2019-12-14.20:02:46,2
Segmentation of string,39045,2019-12-14.18:22:37,2
TestTemporaryDirectory.test_flags fails on FreeBSD/ZFS,39047,2019-12-14.17:14:29,1
mock.patch.stopall doesn't work with patch.dict,21600,2019-12-14.14:42:34,1
Segfault on build for the master branch,39044,2019-12-14.11:07:16,2
Inconsistency with lineno and col_offset info when parsing elif,39031,2019-12-14.10:55:43,2
Add math.fib() generator,39043,2019-12-14.05:10:44,2
Add center_char attribute to str type,39036,2019-12-14.01:35:29,2
http.cookies.SimpleCookie doesn't parse comma-only separated cookies correctly,23930,2019-12-14.00:57:10,2
doctest.testmod(empty_package) raises TypeError in 3.7 (and no errors in 3.6),36406,2019-12-13.23:38:43,2
Test Py_Finalize() from a subinterpreter,37776,2019-12-13.21:33:48,1
GC operates out of global runtime state.,36854,2019-12-13.21:27:20,2
Reference leaks in subinterpreters,38962,2019-12-13.21:17:17,2
IDLE: Replace selected not working/consistent with find,13586,2019-12-13.19:55:46,1
PyThreadState_Next not thread safe,1021318,2019-12-13.17:50:40,1
Create test for fcntl.lockf(),36746,2019-12-13.17:33:39,1
zlib.error with tarfile.open,39039,2019-12-13.16:38:47,1
OverflowError in tarfile.open,39038,2019-12-13.16:33:19,1
Pretty printing sorting for set and frozenset instances,27495,2019-12-13.15:41:25,1
